Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
This hotel is located in Herrieden.	Отель Genießerhotel Limbacher находится в городе Херриден.
Free on-site parking is available for cars, trucks, and buses at Bay City Regency Inn.	На территории мотеля Bay City Regency оборудована бесплатная парковка для автомобилей, грузовиков и автобусов.
Slippers are provided and most rooms have great mountain views.	Гостям предоставляются тапочки. Из большинства номеров открывается великолепный вид на горы.
Palace Jasmine is 15 km from Trivandrum International Airport.	Отель Palace Jasmine находится в 15 км от международного аэропорта Тривандрума.
Area activities include hiking and day trips along the Golden Circle.	Гости могут отправиться в пешие походы и однодневные поездки по Золотому кольцу Исландии.
The property offers free parking.	Также обустроена бесплатная парковка.
An array of activities can be enjoyed on site or in the surroundings, including cycling, hiking and canoeing.	На территории комплекса Miejsce Fajne и за его пределами гости могут заняться велосипедными и пешими прогулками, а также греблей на каноэ.
A daily breakfast is offered which guests can enjoy in the bright breakfast area, also with lake views.	Завтрак подается ежедневно в светлом зале для завтраков с видом на озеро.
Being in the centre of Ciampino you are surrounded by cafés and restaurants.	Отель расположен в центре Чампино, где работает множество кафе и ресторанов.
The kitchen is equipped with a dishwasher.	Кухня оснащена посудомоечной машиной.
Only 100 metres from the shores of the Black Sea, this cosy pension offers air-conditioned rooms and free Wi-Fi.	Уютный мотель Side расположен всего в 100 м от берега Черного моря. К услугам гостей номера с кондиционером и бесплатным Wi-Fi.
Located in the town of Tinos, Athos Studios is only 50 metres from Kalamia Beach and features a bar.	Отель Athos Studios с собственным баром расположен в городе Тинос, всего в 50 метрах от пляжа Каламия.
Enjoying a waterfront position just 100 metres from the pebbly beach, Hotel Soan is 3 km from the centre of Sarandë.	Отель Soan находится на побережье, всего в 100 метрах от галечного пляжа и в 3 км от центра города Саранда.
All units come with a furnished balcony or terrace.	Все номера комплекса оборудованы меблированным балконом или террасой.
An array of activities can be enjoyed on site or in the surroundings, including hiking.	На территории дома для отпуска или в его окрестностях можно заняться различными видами активного отдыха, в том числе пешим туризмом.
An array of activities can be enjoyed on site or in the surroundings, including table tennis.	Рядом с домом для отпуска и в окружающем регионе можно заняться различными видами активного отдыха, в том числе поиграть в настольный теннис.
Just a short walk away, guests can also find a super market, where they can buy their daily necessities.	Всего в нескольких минутах ходьбы также работает супермаркет, где продаются товары повседневного спроса.
An array of activities can be enjoyed on site or in the surroundings, including skiing, cycling and hiking.	В окрестностях лоджа созданы отличные условия для пеших походов, катания на велосипеде, лыжного спорта и других видов активного отдыха.
The property is situated at the foot of the Mystic Mirnock Mountain which has numerous cycling and hiking routes.	Апарт-отель расположен у подножия горы Мистик Мирнок, на которой проложены многочисленные велосипедные и пешеходные дорожки.
Entertainment is provided on most week nights.	Почти каждый вечер в отеле проводятся развлекательные мероприятия.
Cunda's centrum is 1.5 km, and Ayvalik city centre is 2 km from the property.	Центр Кунды находится в 1,5 км от гостевого дома, а центр города Айвалык - в 2 км.
There is a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Opéra Garnier is 2.6 km from Petit Trianon-Etoile, while Orsay Museum is 2.7 km from the property.	Апартаменты расположены в 2,6 км от театра Гранд-опера и в 2,7 км от музея Орсе.
Alicante Airport can be reached by car in 1 hour.	Поездка до аэропорта Аликанте займет 1 час.
Located in the Copacabana district of Rio de Janeiro, the Hotel Biarritz invites you to rest in accommodations equipped with king-size beds and air conditioning.	Отель Biarritz расположен в районе Копакабана в Рио-де-Жанейро. Приглашаем вас отдохнуть в номерах, оборудованных кроватями "king-size" и кондиционером.
This Islamic hotel offers separate outdoor pools for men and women, and a terrace overlooking the sea.	Этот мусульманский отель располагает отдельными открытыми бассейнами для мужчин и женщин, а также террасой с видом на море.
ACC Liverpool is 3.2 km from Sefton Grange , while Liverpool Echo Arena is 3.2 km from the property.	Выставочный и конференц-центр ACC Liverpool, а также спортивно-развлекательный комплекс Echo Arena расположены в 3,2 км от гостевого дома Sefton Grange.
Private parking is available on site.	Гостям предоставляется частная парковка на территории.
This country house is 70 km from Federico Garcia Lorca Granada-Jaen Airport.	Этот загородный дом находится в 70 км от аэропорта им. Федерико Гарсиа Лорки Гранада-Хаэн.
Some rooms are fitted with traditional futon bedding, while others have Western beds.	В некоторых номерах уложены традиционные матрасы футоны, а в других установлены кровати в западном стиле.
The Sport Vital Hotel’s sports programme includes guided hiking and mountain bike tours, aqua gymnastics, and activities such as yoga and pilates.	Спортивная программа спорт-отеля Vital включает организованные походы и туры на горных велосипедах, аквааэробику, а также занятия йогой и пилатесом.
All guests can enjoy panoramic mountain views from their south-west facing balcony.	Балкон в апартаментах выходит на юго-запад. С балкона открывается панорамный вид на горы.
It features a luxury spa centre and rooms with an LCD TV and free WiFi access.	К услугам гостей номера, оснащенные ЖК-телевизором и бесплатным Wi-Fi, а также роскошный спа-центр.
There is a spacious lounge to spend time with friends and a small Library Lounge where guests can read a good book and have a cup of coffee or tea.	Гости могут провести время с друзьями в просторном лаундже или почитать книгу и выпить чашечку кофе или чая в небольшом лаундже с библиотекой.
A Continental breakfast buffet with fresh breads, pastries, fruits, cereals and sliced cold meats is offered for GBP 9.50.	По утрам для гостей сервируется континентальный завтрак «шведский стол», состоящий из булочек, выпечки, фруктов, мюслей и мясного ассорти. Стоимость завтрака составляет 9,5 фунтов стерлингов.
Apartments Hollaj is set in a peaceful part of Ulcinj, only 200 metres from Small Beach and pine forest.	Апартаменты Hollaj расположены в тихой части города Улцинь, всего в 200 метрах от пляжа Смол-Бич и соснового леса.
Guests have access to free WiFi in all areas and free public parking is available on site.	Во всех зонах действует бесплатный Wi-Fi. На территории обустроена бесплатная общественная парковка.
Bed linen and towels are provided.	Гостям предоставляются полотенца и постельное белье.
All apartments have a private furnished balcony and a kitchen with dining area.	Во всех апартаментах в вашем распоряжении собственный меблированный балкон и кухня с обеденной зоной.
All rooms offer splendid garden views.	Из каждого номера открывается великолепный вид на сад.
Located 200 metres from Caicó's AABB, Pousada Bom Gosto offers free Wi-Fi in public areas, 24-hour front desk service and a restaurant.	Гостевой дом Pousada Bom Gosto находится в 200 метрах от спортивно-развлекательного комплекса AABB в городе Кайко. К услугам гостей бесплатный Wi-Fi в местах общего пользования, круглосуточная стойка регистрации и ресторан.
Each room at this inn is air-conditioned and has a flat-screen cable TV and a kettle.	В числе удобств номеров кондиционер, телевизор с плоским экраном и кабельными каналами, а также чайник.
The accommodation features a large garden and a shared lounge with TV.	К услугам гостей большой сад и общий лаундж с телевизором.
Each offers a spacious living room with a flat-screen TV, while the kitchen includes an oven, a stove and a fridge.	Все они располагают просторной гостиной с телевизором с плоским экраном, а также кухней с духовкой, плитой и холодильником.
All rooms at The Denman include central heating, cable TV and a DVD player.	Во всех номерах отеля Denman в распоряжении гостей центральное отопление, кабельное телевидение и DVD-плеер.
At Pichepehuen guests will find barbecue and laundry facilities.	Гости дома для отпуска Pichepehuen могут воспользоваться стиральной машиной и принадлежностями для барбекю.
Simonovskiy Val Apartment offers accommodation in Moscow. The apartment is 3.8 km from Gorky Park.	Апартаменты «Симоновский вал» расположены в Москве, в 3,8 км от парка имени Горького.
The rooms are built out of natural materials like brick, wood and bamboo.	Номера построены с применением натуральных материалов, включая кирпич, дерево и бамбук.
There is also a kitchen, equipped with an oven. A refrigerator and stovetop are also offered, as well as a kettle.	Кухня укомплектована духовкой, холодильником, плитой и чайником.
At Aix Suite Location you will find a garden and a terrace.	На территории здания апартаментов Aix Suite Location разбит сад и обустроена терраса.
From the property, the popular Tower Bridge and Tower of London are 2.3 miles away and Cambridge Heath Train Station is a 5-minute walk to the north.	Расстояние до популярного Тауэрского моста и Тауэра составляет 3,7 км, а до железнодорожного вокзала Кембридж-Хит следует пройти в северном направлении всего 5 минут.
It consists of sweet food including croissants and cappuccino.	Он состоит из сладких блюд и включает круассаны с капучино.
The restaurant serves multi cuisine dishes, including Indian, Chinese and western choices.	В ресторане подаются блюда интернациональной кухни, в том числе блюда индийской, китайской и западной кухонь.
The property is situated in a convenient location close to attractions such as Blue Mosque and Hagia Sophia.	Дом находится в удобном месте, рядом с такими достопримечательностями, как Голубая мечеть и собор Святой Софии.
Local restaurants and supermarkets can be reached on foot in 5 minutes. Trogir city centre and the marina are a 15-minute walk away.	Местные рестораны и супермаркеты расположены в 5 минутах ходьбы от апартаментов. До центра города Трогир и порта можно дойти за 15 минут.
This family-run hotel is located 3 km from Leipzig Central Train Station and 5 minutes’ drive from Leipzig city centre.	Этот семейный гостевой дом находится в 3 км от центрального железнодорожного вокзала Лейпцига, в 5 минутах езды от центра города Лейпцига.
Chinatown is 13 minutes’ walk away.	Прогулка до Китайского квартала занимает 13 минут.
Located near national highways, the guesthouse is a 17-minute drive to Águeda, a 22-minute drive to Aveiro and a 40-minute drive to Coimbra.	Гостевой дом находится рядом с национальными автомагистралями, в 17 минутах езды от города Агеда, в 22 минутах от города Авейру и в 40 минутах езды от первой столицы Португалии - города Коимбры.
Each room comes with satellite TV, a minibar and a bathroom with a hairdryer and a shower or a tub.	Все номера располагают телевизором со спутниковыми каналами, мини-баром и ванной комнатой с феном и душем или ванной.
This medieval-themed hostal offers personalised rooms a shared lounge with a fireplace and flat-screen TV.	Гостевой дом оформлен в средневековом стиле. В нем есть индивидуально декорированные номера с общей гостиной, камином и телевизором с плоским экраном.
The nearest airport is Ben Gurion Airport, 19 km from the property.	До аэропорта имени Бен-Гуриона — 19 км.
The Sklep 57 has a garden, children’s playground, a bike storage room and free on-site parking for up to 4 cars.	Кроме того, в числе удобств дома для отпуска Sklep 57 сад, детская игровая площадка, помещение для хранения велосипедов и бесплатная парковка вместимостью до 4 автомобилей.
Pianeta Oro Avamposto Meteo also includes a sun terrace.	К услугам гостей комплекса Pianeta Oro Avamposto Meteo терраса для загара.
A fitness centre and swimming pool are available and free of charge.	Фитнес-центр и бассейн можно посещать бесплатно.
Ben Siesta provides excellent facilities and affordable luxury in serene surroundings, plus the comfort of home.	Прекрасно оснащенные апартаменты Ben Siesta - это сочетание доступной роскоши, спокойной атмосферы и домашнего уюта.
All apartments at Lapland Hotel Ounasvaara Chalets feature a private terrace and a living room with satellite TV.	Во всех апартаментах Lapland Ounasvaara Chalets имеется собственная терраса и гостиная со спутниковым телевидением.
Le Clos du Père Finet B&B is just over a 10-minute drive from Redu.	От гостевого дома типа «постель и завтрак» Le Clos du Père Finet - чуть более 10 минут езды до деревни Редю.
Offering light, elegant rooms and a 2 AA Rosette restaurant, Yeovil Court is less than 10 minutes’ drive from Yeovil’s centre.	В отеле к услугам гостей светлые, элегантные номера и 2 ресторана, удостоенных розочки ресторанного гида Автомобильной Ассоциации Великобритании. Отель Yeovil Court находится менее чем в 10 минутах езды от центра Йеавила.
A 1-minute walk from Shiomi Train Station, APA Hotel Tokyo Shiomi Ekimae offers western-style rooms with free wired internet and WiFi access.	В отеле APA Tokyo Shiomi Ekimae, расположенном в 1 минуте ходьбы от железнодорожного вокзала Сиоми, к услугам гостей номера в западном стиле с бесплатным проводным доступом в Интернет и Wi-Fi.
German beers and wines can be enjoyed on the terrace or in the conservatory.	На террасе или в зимнем саду можно приятно провести время за кружкой немецкого пива или бокалом вина.
Set within an impressive turreted granite building in the exclusive West End of Aberdeen, these fully-serviced luxury suites have been awarded 4 Diamonds from the RAC.	Отель расположен в величественном гранитном здании с башенкой в фешенебельном районе на западе Абердина. Он удостоен 4 "алмазов" по рейтингу RAC. К услугам гостей роскошные люксы с полным обслуживанием.
All units share bathroom facilities.	Все номера располагают общими ванными комнатами.
The bathroom includes bath, shower, bidet and a hairdryer.	В ванной комнате есть ванна, душ, биде и фен.
Horse riding is available on site and free parking is also provided.	На территории фермы желающие могут заняться конным спортом. Предусмотрена бесплатная парковка.
The Sanctuary Lounge offers refreshing cocktails and various dishes in a buffet or à la carte style.	В лаундже Sanctuary подают освежающие коктейли и разнообразные блюда в формате "шведского стола" или по меню.
Kings Lynn Golf Club is 1.5 miles away and historical Castle Rising can be reached in 5 minutes’ drive.	До гольф-клуба Кингс Линн 2,5 км, а до исторического замка Рост можно доехать за 5 минут.
With a rustic feel and wood beamed ceilings, every apartment features a seating area and dining table.	В числе удобств апартаментов в деревенском стиле с балочным потолком гостиный уголок и обеденный стол.
Traditional cuisine can be sampled in La Quietat’s on-site restaurant.	В ресторане на территории отеля La Quietat подают блюда традиционной кухни.
The spacious restaurant serves Hungarian cuisine.	В просторном ресторане подают блюда венгерской кухни.
Lake Geneva and Nyon are both an 8-minute drive away.	Поездка до Женевского озера и Ньона занимает 8 минут.
Talamanca Beach is 150 metres away.	Пляж Таламанка находится в 150 метрах.
Located in the centre of town, Warrego Hotel Motel Cunnamulla features a restaurant and air-conditioned rooms with a flat-screen TV.	Отель и мотель Warrego Cunnamulla находится в центре города. К услугам гостей ресторан и номера с кондиционером и телевизором с плоским экраном.
Towels are featured.	Гостям предоставляются полотенца.
A continental breakfast is served every morning.	Каждое утро гостям сервируют континентальный завтрак.
All units open to a balcony with unobstructed sea views.	Во всех апартаментах имеется балкон, откуда открывается прекрасный вид на море.
Free Parking is also available.	Гостям, путешествующим на автомобиле, предоставляется бесплатная парковка.
The gym’s fitness instructors can advise and help guests reach their goals.	Фитнес-инструкторы в тренажерном зале всегда готовы помочь гостям подобрать правильную нагрузку.
Located in Moraira, just 600 metres form Cala del Portitxolet Beach, Villa Oceano holiday home offers a beautiful garden, a covered terrace with barbecue facilities and an outdoor pool.	Дом для отпуска Villa Oceano находится в городе Морайра, всего в 600 метрах от пляжа Кала-дель-Портитксолет. К вашим услугам красивый сад, крытая терраса с принадлежностями для барбекю и открытый бассейн.
Offering an outdoor pool, barbecue and sun terrace, Pera Villalari is set in Kemer in the Mediterranean Region Turkey Region.	Вилла Pera Villalari с открытым бассейном и террасой для загара находится в курортном городе Кемер Средиземноморского региона Турции. Гости могут воспользоваться принадлежностями для барбекю.
There is also a kitchen, fitted with an oven and fridge.	В числе удобств кухня с духовкой и холодильником.
A seating area and private bathroom with shower and hairdryer are included.	В числе удобств гостиная зона и собственная ванная комната с душем и феном.
The nearest airport is Tbilisi International Airport, 11 km from Lilika Apartment at Shoropani.	Расстояние от апартаментов «Лилика на ул. Шорапани» до международного аэропорта Тбилиси составляет 11 км.
Toulon is 47 km from Villa Valdor.	Тулон находится в 47 км от виллы Valdor.
Some rooms are complete with a spa bath.	В некоторых номерах имеется гидромассажная ванна.
Free Wi-Fi access is provided.	Предоставляется бесплатный Wi-Fi.
A bicycle can be rented at an additional cost.	За дополнительную плату можно воспользоваться прокатом велосипедов.
Lek House comfortable rooms with a cable TV.	Постояльцам гостевого дома Lek House предлагается проживание в комфортабельных номерах с кабельным телевидением.
The rooms come with a TV and a private bathroom.	В номерах в распоряжении гостей телевизор и собственная ванная комната.
The nearest airport is Malaga Airport, 22 km from the property.	Расстояние до аэропорта Малаги составляет 22 км.
Featuring a shower, private bathrooms also come with slippers and towels.	К услугам гостей собственная ванная комната с душем, а также тапочками и полотенцами.
Hot Park Water Park is 28 km away.	Аквапарк на горячих термальных источниках «Хот-Парк» находится в 28 км от отеля.
Deluxe Apartment mit Balkon is a self-catering accommodation located in Freiburg im Breisgau.	Апартаменты Deluxe mit Balkon с собственной кухней расположены в городе Фрайбург-им-Брейсгау.
Public parking is possible on site at an additional cost.	За дополнительную плату гости могут пользоваться общественной парковкой.
Bed linen and towels are provided.	Гостям предоставляется постельное белье и полотенца для рук.
Housed in a historic building in Durango’s historic centre, this hotel has free Wi-Fi connection, babysitting services, luggage storage, and meeting rooms.	К услугам гостей отеля Posada San Agustin, расположенного в историческом здании в историческом центре города Дуранго, бесплатный WiFi, камера хранения багажа и конференц-залы. В отеле также предоставляются услуги няни.
Heating and a safe are also provided.	Среди прочих удобств - отопление и сейф.
A public computer station with printing services is available, as well as laundry facilities.	В распоряжении гостей общественный компьютерный терминал с принтером, а также прачечная.
It features a rooftop swimming pool, free Wi-Fi and a buffet restaurant.	К услугам гостей бассейн на крыше, бесплатный WiFi и ресторан с обслуживанием в формате «шведский стол».
Free WiFi is provided throughout the property.	На всей территории работает бесплатный Wi-Fi.
The nearest airport is Côte d'Azur Airport, 22 km from the property.	Расстояние до аэропорта Ницца Лазурный Берег составляет 22 км.
Each room has a seating area and a private bathroom.	В номерах также имеется гостиная зона и собственная ванная комната.
A buffet breakfast is offered each morning at Château Les 4 Saisons and it can also be served in the guest rooms.	Ежедневно в отеле Château Les 4 Saisons сервируется завтрак «шведский стол», а также осуществляется доставка завтрака в номер.
Wow Hills also houses a beautiful outdoor garden with seating areas and barbeque facilities are available upon request.	Рядом с гостевым домом Wow Hills разбит красивый сад с зоной отдыха. По запросу гостям предоставляются принадлежности для приготовления барбекю.
It takes 15 minutes to drive to Belorussky Train Station, from which you can get to Sheremetyevo International Airport by Aeroexpress.	За 15 минут вы доедете до Белорусского железнодорожного вокзала, откуда можно добраться на поезде «Аэроэкспресс» до Международного аэропорта Шереметьево.
Free WiFi is available throughout.	На всей территории можно воспользоваться бесплатным Wi-Fi.
The nearest airport is Marina di Campo Airport, 7 km from Appartamento La Sorgente.	Расстояние от апартаментов La Sorgente до ближайшего аэропорта Эльба составляет 7 км.
Rhinelander/Oneida County Airport is 30 minutes’ drive away. The Lake of the Torches Casino is can be reached in 40 minutes’ drive.	В 30 минутах езды находится аэропорт Райнлендер/Онайда Каунти, а за 40 минут можно доехать до казино Lake of the Torches.
Hotel Cristina overlooks the wonderful Bay of Naples and Mount Vesuvius.	Из отеля Cristina открывается вид на Везувий и живописный Неаполитанский залив.
